CVR,Firma,Akiv,Type,Postnummer,Momsfaktor,Afdeling
30016998,Behandlingsstedet Holbrogaard,11/10/2008,Andet,5600,,
30032683,Jyderup Private Heldagsskole v/Kasper Martensen,,,,,
30047249,Psykoanalytisk/terapeutisk/praksis v/Elisabeth Bruhn-Thomsen,,,,,
30047923,Kvindehjemmet Jagtvej,09/01/2008,Opholdssted med budget,2200,,
30067940,FAMILIESTØTTEN ApS,,,,"95,4%",01008
30112806,Opholdsstedet Lillevangsgård,11/01/2007,Opholdssted,2750,,
30127056,Oph.sted: PROJEKTORGANISATIONEN,12/17/2008,Andet,2300,,
30145631,Aktiv Weekend,06/05/2014,Boinstitution,8600,,
30177029,PSYKOLOGSELSKABET TOFTEMOSEGAARD ApS,,,,,
30339983,Aktiv kollegiet,08/01/2017,Opholdssted,,,
30426606,AH-Praksis v/Annette Bjerum Hagenbo,,,,,
30467167,Psykologberedskabet v/Trine Lindemark,,,,,
30499107,CEKTOS,,,,,
30552202,Fonden VITA,,,,,
30552385,Skovgården - Skole- og behandlingshj,12/07/2011,Opholdssted,4250,,
30623770,OPHOLDSSTEDET SKARBYVEJ,12/01/2007,Andet,7560,,
30656598,Fonden Forcen,12/12/2007,Opholdssted,8900,,
30677153,Fonden Solstriben,09/20/2018,Opholdssted,4242,,
30714547,Polaris,,,,"95,4%",01008
30768965,Fonden Opholdsstedet Mississippi,02/22/2010,Andet,4780,,
30789466,Den selvejende institution Stedet,07/01/2009,Andet,5672,,
30815769,Fonden Familieplejen Storstrøm,,,,,
30918576,Fonden Ungdomsuddannelsen U-3,01/01/2009,Aktivitets- og samværstilbud,3500,,
31194997,Ud i livet,01/01/2011,Andet,2800,,
31198143,Trish Nymark Psykoterapeut,,,,,
31249031,DropUd,01/01/2011,Andet,2630,,
31382599,FONDEN OPERATION SELVSVING,01/01/2009,Andet,2300,,
31507413,Den Selvej. Inst. Skovly,01/01/2012,Andet,5683,,
31526094,KH Storkøbenhavn,01/01/2012,Bofællesskab,2640,,
31579384,"Ahmet Demir-Socialkonsulent, Fam.behandling",,,,,
31718090,Boligfællesskabet Egebo I/S,01/01/2009,Bofællesskab,2880,,
31720982,Specialkonsulent Lars Thomsen,01/01/2011,Andet,2950,,
31735815,Familien Frederiksens Isheste,,,,,
31813107,Oph.st. UNDER URET,01/17/2009,Opholdssted,7830,,
31940109,Støttecompagniet,01/01/2011,Støtte-/kontaktpersonordning,8721,,
31951437,Opholdsstedet Højbrogaard,04/22/2009,Andet,4660,,
32041396,MTFC-Hovedstaden,07/01/2009,Andet,3480,,
32107907,Bostedet Caroline Marie,10/28/2015,Botilbud midlertidigt,1123,"95,4%",01008
32225659,Opholdsstedet Pondus,06/01/2010,Andet,7451,,
32250327,de2konsulenter v Nete Lindskrog,,,,,
32279082,Villa Vivamus,02/01/2010,Andet,2720,,
32422578,Fonden Bakkegården,08/01/2013,Opholdssted,8471,,
32521169,Aloma konsulenterne,,,,,
32584292,Heldagsskolen Lindersvold,,,,,
32722814,Blå kors hjemmet,01/01/2011,Botilbud midlertidigt,8883,,
32750605,Pars Tolkeservice,,,,,
32830951,IDRÆTSAKADEMIETS BOSTØTTE OG JOBTRÆNING ApS/,,,,"95,4%",01008
32863558,Fonden Tagkærgaard,10/14/2011,Andet,6070,,
32865283,Halla Tolkeservice v/Halla Al-bacha,,Tolk,,,
33022611,Den Selvejende institution Levuk,,,,,
33038844,SOKON Socialkonsulenter/samvær,,,,,
33044984,Opholdsstedet Kurreholm,05/01/2015,Opholdssted,3330,100%,01005
33046103,Nymand A/S-kørsel,,,,,
33081723,Opholdsstedet Kaoskonsulenterne,06/01/2011,Opholdssted,2500,,
33188722,Opholdsstedet Vadsbyhøj,11/01/2010,Andet,2640,,
33211872,Opholdsstedet Parkgården,02/09/2011,Andet,4792,,
33216688,Etebjerggaard opholdssted,06/01/2013,Opholdssted,,,
33247745,Botilbuddet Kæderupvej  APS,07/08/2011,Andet,3200,,
33329261,Januscentret,,,,,
33361378,Dankbar Aps,,,,,
33374194,Advokaterne Algade 43,,,,,
33423748,Opholdsstedet Ørting,04/18/2017,Opholdssted,,,
33423748,Fonden Ørting ,,,,,
33443323,K-Byrial Jensen-psykolog v/Karen Byrial Jensen,,Psykolog,,,
33583311,PsykologCompagniet,,Psykolog,,,
33664907,Privat praktiserende psykolog Pia Karoline Sparrebro,,Psykolog,,,
33668163,Psykolog Lene Kiel Jespersen,,Psykolog,,,
33673507,Sorø apotek,,,,,
33721897,Behandlingscenter Himmerland,01/01/2011,Opholdssted med budget,9640,,
33734727,Psykolog Elisabeth Christensen,,Psykolog,,,
33743114,Psykoterapeutisk praksis v/Rikke Leerhøj Rahm,,Psykolog,,,
33880782,STØTTEBUREAUET ApS,,,,,
33903685,Psykolog Martin Skriver,,Psykolog,,,
33926804,Fonden Kalles hus,,,,,
33998465,Dalmskov v/Thomas Dalmskov,,,,,
34002169,Psykolog Margit Novland,,Psykolog,,,
34112185,Vejen-videre v/Kristine Kim Nielsen,,,,,
34174156,Mette Skjærbæk PRC/selvforståeskursus,,,,,
34276250,Psykologisk Konsultation v/ Birgit Bonde,,Psykolog,,,
34363501,Den selvej. inst. Kildehøjen,08/02/2012,Familiebehandling,4440,,
34456194,Pitstop-nu aps,,,,,
34509824,Familie-og Psykoterapeut Tina Stenkløv,,,,,
34600767,Opholdsstedet Lykkegard,10/01/2015,Aflastning,4300,,
34668094,True north efterskole,08/01/2013,Efterskole,,,
35023747,Sanne Lundberg Psykoterapeut,,,,,
35047719,Nordfyns Efterskole,,,,,
35062025,Opholdsstedet Piberhus Fond,02/01/2018,Opholdssted,,,
35209115,Odense Kvindekrisecentre,01/01/2012,Krisecenter,5000,,
35237038,Concura,,,,"95,4%",01008
35248940,Kilden,01/01/2010,Aktivitets- og samværstilbud,2500,,
35300821,Terapi-Huset,,,,,
35504915,Psykolog Kris Simonsen,,,,,
35551026,Fredslund Consulting,,,,,
35558500,Ny Krumsø Skole & Socialpæd. Opholds,08/18/2014,Kostskole,4920,,
35735887,Fonden Holbæk Krisecenter Medusa,05/25/2018,Krisecenter,,,
35861696,Molis Aps.,,,,,
35954716,Salling Group (Dansk Supermarked),,,,,
36028521,Familie & Evidens Center,01/01/2016,Andet,,,
36067977,Leute Aps,,,,80%,01005
36109920,Opholdssted Soranahus,02/01/2018,Opholdssted,,,
36176618,Kalleruphus,01/01/2011,Botilbud midlertidigt,2500,,
36264462,Ditte Lindqvist,,,,,
36290498,Wiicare,,,,100%,01005
36317361,Havrehuset,04/24/2017,Boinstitution,3250,,
36586044,Den selvejende institution Svaneke Friskole,,Efterskole,,,
36630639,Psykolog Anja Brems,,,,,
36981180,Samvær i Centrum,,,,,
37188722,Opholdsstedet Vadsbyhøj,11/01/2010,Andet,2640,,
37273449,Skotteruphus,01/01/2007,Bofællesskab,3070,,
37348953,"Stenbæk, Bang & Willumsen, Privatpraktiserende pædagoger ApS",,,,,
37471992,Socialkrea,,,,,
37494496,Socialkonsulent Nanna Olesen,,,,"95,4%",01008
37614238,FK care APS Bostedet Spiren,06/27/2017,Opholdssted,4340,,
37844071,Møllegårdens botilbud,01/31/2017,Andet,4572,,
37862703,Lise S. Westermann PRC/samtaler,,,,,
37914312,Møltrup Optagelseshjem,11/24/2008,Opholdssted med budget,7480,,
38347497,U:Point,05/28/2018,Opholdssted,4180,,
38454293,Fyrtårnet Stenløse/behandl.,,,,,
38462385,Psykolog Sophie Risom,,,,,
38522809,Job & Uddannelse Erhvervsskolen,,,,,
38723170,Dvj consulting and social development/støtte,,,,,
38729616,Bogø Kollegiet,,,,,
39220253,Line Ibsen/Selvforståelse,,,,,
39306069,Udvejen.dk,,,,,
39392186,Kollerupcare,,,,,
39405296,Caico Crafts,,,,80%,
39481812,Ubbely Krisecenter,,,,95.4%,
39551519,Skolen i Skibby,,,,,
39625970,Broen,01/01/2010,Opholdssted med budget,,,
39684918,Børnecentret Fjordhøj,01/01/2014,Socialpædagogisk opholdssted,3310,,
40233156,BACKSPIN & SELVVÆRD ApS,,,,,
40371117,Vordingborgskolen,01/01/2007,Skoleophold,4760,,
41332328,FÆLLESSKABET FANEFJORD FOND,01/01/2007,Opholdssted,4792,,
43286617,Elleslettegård,01/01/2009,Andet,2950,,
43431597,Lænke-Pensionatet,08/01/2009,Kollegie,2600,,
44388618,VEJLEFJORDSKOLEN,,,,,
44683016,Næsgaard efterskole,01/01/2014,Efterskole,,,
44773070,Rosenhaven Plejecenter,01/01/2010,Forebyggende indsats for ældre,2740,,
45005917,Langelands efterskole,07/01/2014,Efterskole,,,
46231112,Egmont Højskolen,01/01/2009,Plejehjemsplads,8300,,
46231112,Egmont Højskolen,01/01/2009,Skoleophold,8300,,
48390950,ESROM KOST- OG FRISKOLE,01/01/2007,Kost-/efterskole,3230,,
49015011,Efterskolen Solbakken,07/01/2009,Efterskole,4230,,
49148011,Bornholms Krist Friskole Davidskolen,,Efterskole,,,
49801513,Fårevejleefterskole,10/01/2017,Efterskole,,,
49801513,FÅREVEJLE FRI- OG EFTERSKOLE,,Efterskole,,,
50823848,Skolehaven,08/01/2011,Botilbud,2750,,
52675510,Samsø efterskole,08/01/2014,Efterskole,,,
53383211,Familieinst./Familiehuset Engelsborg,07/14/2007,Alternative institution,2800,,
54801610,Lomborg Gymnastik- og Idrætsefterskole,,Efterskole,,,
55134510,Instituttet for blinde og svagtseend,01/01/2011,Opholdssted med budget,2900,,
55373707,Fonden oph.st.: RISBYGÅRD,01/01/2007,Opholdssted,4750,,
55453004,Hjortholm,11/11/2002,Behandlingshjem,4250,,
55627312,Askovhus,04/01/2010,Bofællesskab,2200,,
55775214,DAB,05/01/2008,Opholdssted med budget,,,
55894009,Bogø Kostskole,01/01/2007,Kost-/efterskole,4793,,
57646233,Holdstedgaard,01/01/2011,Botilbud midlertidigt,4700,,
58626716,glamsbjerg fri og efterskole,10/01/2014,Efterskole,,,
58842117,Midtfyns efterskole,08/08/2010,Efterskole,5792,,
58937517,Ringe Fri- og Efterskole,08/13/2017,Efterskole,,,
59276417,Opholdsstedet Arken,03/29/2004,Andet,4440,,
59477218,HINDHOLM EFTERSKOLE,05/13/2009,Efterskole,4250,,
59477218,Holmstrup Efterskole,08/01/2011,Efterskole,4250,,
59541919,Osted Fri- og Efterskole,12/07/2009,Efterskole,4320,,
59575511,Tømmerup efterskole,02/01/2010,Efterskole,,,
59607316,Birkebo,01/01/2014,Socialpædagogisk opholdssted,3630,,
62924810,Dantaxi 4x48,,,,,
62924810,Dantaxi 4x48,,Transport,,"95,4%",01008
62988711,Tommerup Efterskole,,Efterskole,,,
63447412,Blykobbe Efterskole,05/01/2009,Efterskole,3700,,
63640719,Områdeinstitutionen Dildhaven,02/21/2018,Plejefamilie,2730,,
64502018,Bofællesskab Jernbane Alle,01/01/2009,Bofællesskab,3060,,
64593528,Thorshøjgård,,,,,
64942212,Børne- og familiehus Arild,08/15/2018,Andet,,,
64942212,Ertodeto,02/19/2012,Andet,2850,,
65321089,Louisenlund,01/01/2011,Botilbud midlertidigt,5300,,
65344718,Holte-Hus Efterskole,07/01/2014,Efterskole,2840,,
65462117,Klank Efterskole,,,,,
65589447,Øse efterskole,08/05/2012,Efterskole,6800,,
65655012,EFTERSKOLEN ØSTERGÅRD,07/22/2009,Efterskole,4735,,
65782413,Roholte Efterskole,08/01/2010,Efterskole,4640,,
66252817,AKUcenter Højagergaard,08/01/2011,Andet,3550,,
66408310,Stenhus Kostskole,07/01/2012,Kostskole,4300,,
67794710,Ubby Fri- og Idrætsefterskole,11/01/2013,Efterskole,4490,,
67794710,Friskolen & Idrætsefterskolen Ubby,,,,,
68513928,Hjortholm Kostskole,08/01/2014,Kostskole,4250,,
69661513,Faxehus efterskole,08/01/2010,Efterskole,4654,,
69783414,NIELSSTRUP,01/01/2007,Opholdssted,4990,,
70087316,Odsherreds Efterskole,01/11/2012,Efterskole,4540,,
70295415,Sorø Husholdningsskole,08/01/2011,Efterskole,4180,,
74577016,DSI Kollegiet Nord-lys,01/01/2014,Opholdssted,3250,,
75521755,Overmarksgården,01/01/2010,Herberg,6000,,
75711115,TAXA SYD AMBA,,,,,
75736215,AKTIV WEEKEND,01/01/2007,Opholdssted,8600,,
76409110,Kalleruphus  psyk. bo- og behand ,01/01/2007,Opholdssted med budget,2500,,
76767416,I/S Kilden,01/01/2009,Beskyttet virksomhed,4500,,
77252010,FABU-FONDEN,,,,95%,
78297212,Skolen på Slotsvænget,11/01/2013,Kostskole,3480,,
78627719,SKOVLY,01/01/2007,Opholdssted,8680,,
78637528,NORDTOFTE,01/01/2007,Opholdssted,3250,,
78887915,Startskuddet,05/01/2010,Opholdssted,4735,,
79005312,Fonden Krisecentret Røntofte,,,,,
80429959,Skrødstrup efterskole,07/01/2014,Efterskole,,,
81368813,Nordsjællands Efterskole,,,,,
81473315,Grennessminde Birkerød,01/01/2011,Værksted,3460,,
81956928,Nysted efterskole,08/01/2010,Efterskole,4880,,
83280115,Korinth Efterskole,,,,,
84414913,Landsforeningen Autisme,,,,,
84493813,Efterskolen Waldemarsbo,07/14/2009,Efterskole,4654,,
85188119,ADVODAN Lolland-Falster,,,,,
85630113,Hørhuset,01/01/2008,Bofællesskab,2300,,
85709119,Ringe Kost- og Realskole,08/01/2014,Kostskole,5750,,
86944510,Bindernæs efterskole,09/01/2009,Efterskole,4970,,
89185513,Halstedhus Efterskole,,,,"95,4%",01008
89257514,Pederstrup efterskole,08/01/2009,Efterskole,4943,,
93019350,STUTTERI SVANEMOSEN V/ARNE NIELSEN,12/13/2007,Opholdssted,6580,,
97124390,Familiehøjskolen Skærgården,01/01/2007,Familiebehandling,7400,,
,Bofællesskabet Alstrup allé,01/01/2011,Botilbud midlertidigt,8381,,
,Møllebakken,05/05/2017,Opholdssted,,,01005
,Forsorgshjemmet Solvang,01/01/2011,Opholdssted med budget,,,
,Skovvænget,01/01/2011,Andet,2750,,
,"""Fiktiv"" Strandager",01/01/2007,Opholdssted,,,
,Munkegård,01/01/2007,Opholdssted,,,
,Basen,,,,,
,Farmen/behandl.,,,,,
,Fjordskolen/socialdel,,,,,
,Fortuna ApS,,,,,
,Henrik Skovsen/kontaktper.,,,,,
,JSR-socialkonsulenter,,,,,
,"KAB husleje,Egebjergvang 169",,,,,
,MK Consult,,,,"95,4%",01008
,Pausen,,,,"95,4%",01008
,Pia Offenberg/støtte,,,,,
,Pilely Gård,,,,,
,Skolen Gimle-Behandling på intern skole,,,,,
,"Socialkonsulenterne, Fam.behandl.",,,,,
,Steiner Børnehave,,,,,
,Taxa 4x35,,Transport,,,
,Villa Magnoila,,,,,
